ID,Lat,Lon,DetCov1,Elevation,Depth,Length,Width,Area,,,Wetland Type,Other,Beaver Influenced,NOTES
CO-VAIL,39.92489,-105.11313,,1646,2.00,403.00,,8618.80,Pond,Permanent,Artificial,2011,N/A,
CO-VAIL,39.92489,-105.11313,,1646,1.50,411.00,,7593.50,Pond,Permanent,Artificial,2011,N/A,
CO-GRELE,39.998017,-105.113175,,1640,,,,42800.00,Pond,Permanent,Natural,2008,N/A,
shoe,39.58801,-105.11435,,1740,2.50,177.03,,1766.50,Pond,Permanent,Artificial,2010,N/A,
Film,39.57171,-105.11561,,1757,1.50,321.87,,3270.30,Pond,Permanent,Artificial,2010,N/A,
CO-9655,39.78897,-105.11603,,1659,2.00,,,3889.00,Pond,Permanent,Artificial,2009,N/A,
CO-9655,39.78897,-105.11603,,1659,,,,3001.00,Pond,Permanent,Artificial,2009,N/A,
9940,39.934024,-105.116171,,1630,,,,2592.00,Pond,Permanent,Natural,2007,N/A,
16626,40.549635,-105.117884,,1562,,,,,Pond,Permanent,Natural,2007,N/A,
CO-12229,40.034249,-105.121947,,1576,,,,5604.00,Pond,Permanent,Artificial,2007,N/A,
CO-GOGR,39.92566,-105.12267,,1652,2.00,513.00,,11316.00,Pond,Permanent,Artificial,2011,N/A,
CO-GOGR,39.92566,-105.12267,,1652,2.50,475.00,,11658.00,Pond,Permanent,Artificial,2011,N/A,
Co-DETEN,39.936005,-105.122921,,,2.00,,,6868.00,Pond,Permanent,Artificial,2009,N/A,
Co-DETEN,39.936005,-105.122921,,,,,,,Pond,Permanent,Artificial,2009,N/A,
9422,39.8222,-105.12476,,1648,,,,3501.00,Pond,Permanent,Artificial,2009,N/A,
CO-LPAD,40.620104,-105.129442,,1543,2.50,,,4689.00,Pond,Permanent,Natural,2008,N/A,
CO-PRO,39.922399,-105.131329,,1678,7.00,248.00,,3578.00,Pond,Permanent,Artificial,2011,N/A,
CO-PRO,39.922399,-105.131329,,1678,2.00,254.00,,3635.00,Pond,Permanent,Artificial,2011,N/A,
CO-UGDU,39.92896,-105.13141,,1657,1.50,238.00,,2365.60,Pond,Permanent,Artificial,2011,N/A,
CO-UGDU,39.92896,-105.13141,,1657,1.50,238.00,,2365.00,Pond,Permanent,Artificial,2011,N/A,
11651,40.11204,-105.13158,,1542,,,,1249.00,Pond,Permanent,Artificial,2009,N/A,
11651,40.11204,-105.13158,,1542,1.50,,,2046.00,Pond,Permanent,Artificial,2009,N/A,
CO-SUMM,39.93644,-105.13474,,1643,1.50,458.00,,6514.00,Pond,Permanent,Artificial,2011,N/A,
CO-SUMM,39.93644,-105.13474,,1643,5.00,458.00,,6514.00,Pond,Permanent,Artificial,2011,N/A,
CO-GOLDE,39.92998,-105.13766,,1657,1.20,227.00,,3180.00,Pond,Permanent,Artificial,2011,N/A,
CO-GOLDE,39.92998,-105.13766,,1657,1.50,311.00,,3473.00,Pond,Permanent,Artificial,2011,N/A,
CO-HOLE,39.92126,-105.13844,,292,2.00,292.00,,4226.00,Pond,Permanent,Artificial,2011,N/A,
CO-HOLE,39.92126,-105.13844,,292,3.00,294.00,,4834.00,Pond,Permanent,Artificial,2011,N/A,
CO-TEDR,39.93925,-105.13907,,,1.10,443.00,,64023.00,Pond,Permanent,Artificial,2011,N/A,
CO-TEDR,39.93925,-105.13907,,,3.00,429.00,,5218.00,Pond,Permanent,Artificial,2011,N/A,
CO-ZEPO,39.93925,-105.13937,,1650,1.20,265.00,,2425.00,Pond,Permanent,Artificial,2011,N/A,
CO-ZEPO,39.93925,-105.13937,,1650,2.00,,,,Pond,Permanent,Artificial,2011,N/A,
CO-DIXON,40.549847,-105.140314,,1588,,,,209000.00,Lake,Permanent,Artificial,2008,N/A,
CO-DIXON,40.549847,-105.140314,,1588,,,,,Lake,Permanent,Artificial,2009,N/A,
CO-TELL5,40.03921,-105.1406,,1566,2.00,,,129162.00,Pond,Permanent,Artificial,2009,N/A,
CO-TELL5,40.03921,-105.1406,,1566,10.00,,,138751.00,Pond,Permanent,Artificial,2009,N/A,
127848,39.935568,-105.141805,,1648,,,,,Pond,Permanent,Artificial,2007,N/A,
127848,39.935568,-105.141805,,1648,2.00,,,2083.00,Pond,Permanent,Artificial,2009,N/A,
127848,39.935568,-105.141805,,1648,1.30,193.12,,1670.20,Pond,Permanent,Artificial,2010,N/A,
127848,39.935568,-105.141805,,1648,4.00,,,,Pond,Permanent,Artificial,2011,N/A,
127848,39.935568,-105.141805,,1648,1.30,,,,Pond,Permanent,Artificial,2011,N/A,
0,39.940651,-105.143095,,1658,,,,,Lake,Semi-permanent,Artificial,2007,N/A,
0,39.940651,-105.143095,,1658,0.60,,,74.00,Lake,Semi-permanent,Artificial,2009,N/A,
0,39.940651,-105.143095,,1658,2.50,997.79,,42959.00,Lake,Semi-permanent,Artificial,2010,N/A,
0,39.940651,-105.143095,,1658,2.00,547.18,,19930.00,Lake,Semi-permanent,Artificial,2010,N/A,
0,39.940651,-105.143095,,1658,,728.00,,25166.00,Lake,Semi-permanent,Artificial,2011,N/A,
0,39.940651,-105.143095,,1658,5.00,691.00,,22466.00,Lake,Semi-permanent,Artificial,2011,N/A,
CO-DEER,40.04454,-105.14568,,1934,,,,133000.00,Lake,Permanent,Natural,2008,N/A,
CO-DEER,40.04454,-105.14568,,1934,2.00,,,,Lake,Permanent,Natural,2009,N/A,
CO-MUSK,39.93922,-105.14742,,1649,1.10,548.00,,9763.00,Pond,Permanent,Artificial,2011,N/A,
CO-MUSK,39.93922,-105.14742,,1649,1.50,548.00,,9760.00,Pond,Permanent,Artificial,2011,N/A,
CO-SAFE,39.930843,-105.14774,,,4.00,,,10987.00,Pond,Permanent,Artificial,2011,N/A,
CO-SAFE,39.930843,-105.14774,,,2.20,,,,Pond,Permanent,Artificial,2011,N/A,
Ertl8,40.04686,-105.14997,,1556,2.00,820.77,,6468.30,Pond,Permanent,Artificial,2010,N/A,
CO-FUNT,40.0448,-105.15069,,1554,,,,2661.00,Pond,Permanent,Natural,2009,N/A,
12658,39.94774,-105.15212,,1678,,,,2984.00,Pond,Permanent,Artificial,2007,N/A,
12658,39.94774,-105.15212,,1678,1.50,305.78,,3543.00,Pond,Permanent,Artificial,2010,N/A,
12658,39.94774,-105.15212,,1678,2.00,0.14,,3253.90,Pond,Permanent,Artificial,2010,N/A,
12658,39.94774,-105.15212,,1678,2.00,209.21,,2949.40,Pond,Permanent,Artificial,2010,N/A,
12658,39.94774,-105.15212,,1678,0.30,138.00,,445.00,Pond,Permanent,Artificial,2011,N/A,
CO-CLAY,40.61787,-105.15223,,1571,2.00,,,12000.00,Pond,Permanent,Artificial,2009,N/A,
Anderson,40.01593,-105.15278,,1610,2.50,659.83,,13867.00,Pond,Permanent,Artificial,2010,N/A,
